 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -5.6483 0.2015 0.0042 -6.0531 -5.2647 2470.8514 0.9997
Rc 10.4032 0.2578 0.0049 9.8991 10.9196 3174.545 0.9997
w_n_t_1 0.2779 0.0969 0.0018 0.0903 0.4674 3022.9357 0.9997
w_a_t_1 1.5955 0.0888 0.0015 1.4245 1.7777 3308.6136 0.9999
w_d_t_1 -23.214 996.046 17.5164 -1970.86 1858.7998 3291.8094 0.9997
w_c_t_1 1.6722 0.4692 0.0107 0.8173 2.6183 1871.4926 0.9997
y_c_t_1 3.0209 0.4058 0.0088 2.1832 3.7797 2028.4737 0.9997
Node -1.1714 0.1224 0.002 -1.4082 -0.9268 3020.728 0.9997
Under_Supply -4.9603 0.2044 0.0047 -5.3728 -4.5947 1971.7997 0.9997
Flow 2.5779 0.2615 0.0054 2.0201 3.0354 2500.5123 0.9997
Arc -0.4195 0.1025 0.0018 -0.6159 -0.2158 2943.6816 0.9999
