 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -8.2514 0.29 0.0073 -8.8359 -7.6908 1708.3953 0.9998
Rc 12.1487 0.3677 0.0066 11.4341 12.8934 2423.2977 0.9999
w_n_t_1 0.9012 0.1131 0.0021 0.6782 1.1135 3059.5119 0.9998
w_a_t_1 1.0734 0.1193 0.002 0.8458 1.3115 3195.5216 0.9997
w_d_t_1 -23.3172 990.6915 18.3476 -2092.1899 1814.3775 3096.751 0.9997
w_c_t_1 7.0943 0.6354 0.0181 5.867 8.3233 1341.6052 0.9998
y_c_t_1 0.3256 0.522 0.0125 -0.7144 1.3367 1771.7144 1.0
Node -2.0163 0.1746 0.0035 -2.3518 -1.6783 2108.1345 1.0
Under_Supply -6.9825 0.3039 0.0083 -7.569 -6.4042 1329.4817 1.0002
Flow 3.4877 0.4393 0.0108 2.6411 4.3537 1469.5964 1.0009
Arc -0.8859 0.142 0.0031 -1.1631 -0.6137 2262.3339 1.0003
