 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -8.3913 0.2985 0.0067 -8.9982 -7.843 1894.9574 1.0
Rc 7.3852 0.2247 0.0055 6.939 7.8148 1810.9838 1.0
w_n_t_1 0.5856 0.1377 0.0024 0.3103 0.8504 2751.9496 1.0
w_a_t_1 2.8043 0.1215 0.0023 2.5701 3.0412 2710.0276 1.0001
w_d_t_1 -6.983 1017.6043 16.3921 -2068.7422 1925.9465 3462.838 0.9999
w_c_t_1 5.4771 0.6536 0.0162 4.1875 6.6871 1423.5938 1.0032
y_c_t_1 -2.6305 0.5248 0.0115 -3.6704 -1.6047 1946.7204 1.0027
Node -1.2134 0.1889 0.0045 -1.5903 -0.8567 1634.1119 1.0008
Under_Supply -4.1021 0.2678 0.0068 -4.6245 -3.5721 1304.5088 1.0035
Flow 3.064 0.42 0.0122 2.2655 3.8736 1218.4696 1.0016
Arc 0.0799 0.1353 0.0027 -0.1807 0.3552 2347.1148 1.0
