 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -1.614 0.1751 0.004 -1.9586 -1.2772 1755.5078 1.0004
Rc 11.8954 0.2536 0.0046 11.4023 12.4019 2574.8767 0.9997
w_n_t_1 1.9875 0.108 0.002 1.7756 2.1952 2856.5535 0.9998
w_a_t_1 4.6064 0.1138 0.0023 4.3812 4.8191 1966.5027 0.9997
w_d_t_1 16.1576 984.8371 20.137 -1921.4733 1937.7205 2197.9005 1.0006
w_c_t_1 0.124 0.4076 0.0093 -0.6704 0.9045 1599.214 1.0007
y_c_t_1 -4.7468 0.3787 0.0081 -5.4829 -4.021 1817.6606 1.0001
Node -0.7623 0.0988 0.0019 -0.9597 -0.5689 2206.0998 0.9997
Under_Supply -5.0621 0.1826 0.0044 -5.4272 -4.7129 1426.9736 1.0009
Flow 1.7883 0.1405 0.0029 1.5059 2.0564 2117.8869 1.0004
Arc -0.0377 0.0837 0.0018 -0.2047 0.1194 2267.6337 1.0002
