 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept 1.1981 0.1787 0.004 0.8608 1.546 1657.9167 1.0016
Rc 20.7875 0.4022 0.0085 20.0023 21.5686 2218.3666 1.0003
w_n_t_1 0.5033 0.0955 0.0016 0.3188 0.6942 3461.5759 1.001
w_a_t_1 3.1627 0.1015 0.0024 2.9628 3.3551 1636.0368 0.9997
w_d_t_1 -0.5728 0.0623 0.0011 -0.6882 -0.4431 2940.3462 0.9999
w_c_t_1 0.212 0.3047 0.0069 -0.3724 0.8426 1705.6491 0.9997
y_c_t_1 -2.0656 0.2964 0.0073 -2.6234 -1.4675 1829.8184 0.9997
Node -1.5235 0.1292 0.0033 -1.7841 -1.2812 1596.4128 0.9998
Under_Supply -10.9761 0.2569 0.0067 -11.4772 -10.4845 1291.3677 1.0
Flow 2.9501 0.1915 0.0048 2.5783 3.3304 1812.4545 0.9997
Arc 0.0678 0.1038 0.002 -0.1492 0.2539 2565.041 1.0002
