 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.1108 0.2886 0.0071 -7.6853 -6.5378 1643.4076 1.002
Rc 13.0585 0.3734 0.0074 12.2954 13.741 2548.928 0.9997
w_n_t_1 1.386 0.1398 0.0026 1.105 1.6484 2778.428 1.0004
w_a_t_1 3.5681 0.1458 0.0027 3.286 3.8571 2794.9332 1.0008
w_d_t_1 -5.6916 1006.5866 18.6047 -2049.5619 1835.3661 3150.5718 0.9998
w_c_t_1 4.2817 0.6501 0.0167 3.0639 5.5887 1467.6105 1.0006
y_c_t_1 -0.4205 0.5571 0.0129 -1.5683 0.5907 1781.044 1.0006
Node -2.7666 0.1945 0.004 -3.1651 -2.3968 2052.8506 1.0005
Under_Supply -9.4575 0.3172 0.0073 -10.0814 -8.826 1757.3159 1.0001
Flow 4.0513 0.4473 0.01 3.2211 4.9622 1636.3514 1.0006
Arc -0.9617 0.1389 0.0026 -1.2395 -0.69 2617.3521 0.9997
