 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.8861 0.5158 0.0144 -5.8571 -3.8305 1395.3527 1.0
Rc 75.5266 1.9467 0.0393 71.9052 79.5514 2424.3529 1.0003
w_n_t_1 1.0671 0.0784 0.0014 0.9283 1.2293 3148.4507 0.9997
w_a_t_1 1.3551 0.095 0.002 1.1693 1.5404 2417.0966 1.0001
w_d_t_1 -7.5443 969.064 17.0421 -1931.578 1862.5341 3132.345 0.9998
w_c_t_1 1.6887 0.3071 0.0063 1.1015 2.3 2492.3687 0.9998
y_c_t_1 1.4986 0.2933 0.0058 0.9255 2.048 2253.842 1.0
Node 0.8242 0.1138 0.0021 0.6032 1.0451 2573.786 0.9998
Under_Supply -2.4473 0.5468 0.0155 -3.5088 -1.3615 1384.9197 1.0002
Flow 0.9844 0.1502 0.0033 0.6649 1.2488 2637.0641 0.9998
Arc 0.4694 0.1058 0.0021 0.2554 0.6673 2847.4772 0.9997
