 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -7.5628 0.5033 0.0127 -8.501 -6.5555 1717.6724 1.0008
Rc -2.5406 0.2979 0.007 -3.1516 -1.9911 1556.0187 0.9999
w_n_t_1 0.5603 0.2511 0.0042 0.085 1.0516 2906.0551 0.9997
w_a_t_1 3.6771 0.164 0.0027 3.3681 3.9971 2919.6857 0.9997
w_d_t_1 20.9689 1018.7228 14.9184 -2045.6134 1891.4226 3087.8319 0.9999
w_c_t_1 3.9742 1.0383 0.0292 1.9262 5.9492 1322.8483 1.0007
y_c_t_1 -6.9725 0.8322 0.0215 -8.6811 -5.4132 1533.3592 1.0002
Node -1.5799 0.281 0.007 -2.1225 -1.0234 1626.8493 0.9997
Under_Supply -6.7606 0.4711 0.013 -7.7158 -5.889 1311.086 1.001
Flow 7.4271 0.6146 0.017 6.1682 8.5666 1224.4164 0.9997
Arc 0.1423 0.2143 0.005 -0.2854 0.5404 1697.8782 1.0
