 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -2.1641 0.159 0.0032 -2.4709 -1.8571 1955.9189 0.9997
Rc 9.9977 0.2234 0.0043 9.5745 10.4496 2891.1401 1.0
w_n_t_1 0.7582 0.0975 0.0017 0.5681 0.956 3136.9917 0.9997
w_a_t_1 2.0275 0.0904 0.0019 1.8551 2.202 2558.2932 0.9997
w_d_t_1 4.0948 1010.1993 19.232 -2048.2148 1902.2564 2821.5306 1.0003
w_c_t_1 0.3901 0.4125 0.009 -0.4265 1.1778 1531.6037 0.9997
y_c_t_1 1.1208 0.3658 0.0076 0.4193 1.8304 1784.1485 0.9997
Node -0.5825 0.0923 0.0018 -0.7546 -0.3963 2506.647 0.9997
Under_Supply -4.952 0.1665 0.0042 -5.2873 -4.6308 1548.3195 0.9997
Flow 1.5383 0.1403 0.0033 1.2785 1.8283 2095.0228 0.9997
Arc -0.3702 0.0829 0.0014 -0.5418 -0.2178 2602.2676 0.9998
