 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.0165 0.1651 0.0034 -3.3317 -2.7118 2381.3433 1.0001
Rc 11.797 0.2531 0.0044 11.2883 12.2624 2611.822 0.9997
w_n_t_1 1.0274 0.1215 0.0027 0.78 1.2564 2526.1539 0.9997
w_a_t_1 2.6777 0.1094 0.0021 2.4672 2.8879 2401.8942 0.9999
w_d_t_1 7.1007 1022.9331 18.9787 -2005.7182 1949.1813 2987.9658 0.9997
w_c_t_1 1.5339 0.3592 0.0082 0.8035 2.2019 1865.2758 1.0003
y_c_t_1 -1.9802 0.337 0.0076 -2.6666 -1.3657 1870.6056 0.9999
Node -1.2027 0.1293 0.0023 -1.4392 -0.9347 2638.1481 0.9998
Under_Supply -6.6213 0.1817 0.0037 -6.9858 -6.2704 1823.6862 1.0002
Flow 2.0212 0.2386 0.0046 1.5596 2.485 1956.8543 0.9997
Arc -0.5254 0.1048 0.0022 -0.7218 -0.3192 2162.7211 1.0002
