 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -3.9461 0.1737 0.0035 -4.282 -3.5907 2257.3616 0.9997
Rc 11.4218 0.2636 0.0048 10.8805 11.9095 2648.6447 1.0002
w_n_t_1 0.6231 0.1092 0.0021 0.4209 0.8393 2798.1301 1.0002
w_a_t_1 1.853 0.103 0.0019 1.6497 2.0474 2659.0159 1.0012
w_d_t_1 -1.6764 0.1096 0.0021 -1.8878 -1.4639 2568.5488 0.9997
w_c_t_1 2.5674 0.3913 0.0087 1.8123 3.3285 1730.9489 0.9999
y_c_t_1 -0.1002 0.3383 0.0075 -0.7268 0.6019 1997.3114 0.9999
Node -1.1476 0.1293 0.0025 -1.3784 -0.8689 2333.0494 1.0002
Under_Supply -4.4481 0.1651 0.0037 -4.7856 -4.148 1727.8377 0.9999
Flow 0.8194 0.2262 0.005 0.3573 1.2666 1861.2137 1.0009
Arc -0.3213 0.102 0.002 -0.5219 -0.1233 2402.4144 0.9997
