 mean sd mc_error hpd_2.5 hpd_97.5 n_eff Rhat
Intercept -4.5123 0.1872 0.0044 -4.8831 -4.1517 1845.4471 0.9997
Rc 8.5721 0.2342 0.005 8.1096 9.0275 2281.9645 1.0012
w_n_t_1 0.8637 0.0559 0.001 0.758 0.9767 3240.6441 1.0002
w_a_t_1 0.8892 0.0545 0.0011 0.7822 0.9951 2522.2443 1.0
w_d_t_1 22.1866 999.8668 18.2524 -1878.1124 2035.0731 3242.7984 0.9997
w_c_t_1 1.2834 0.4601 0.0123 0.295 2.1083 1387.1668 0.9998
y_c_t_1 1.9053 0.3976 0.0101 1.0667 2.6344 1595.7189 0.9997
Node -0.4841 0.1181 0.0026 -0.6941 -0.2358 2472.3653 1.0007
Under_Supply -5.1055 0.1982 0.0051 -5.4925 -4.7214 1791.6955 1.0005
Flow 2.413 0.2556 0.006 1.9012 2.9006 2023.7117 1.0007
Arc -0.1141 0.1004 0.0021 -0.3113 0.0808 2269.3952 0.9997
