Service Area,Node
0,21
1,22
2,20
3,29
4,27
5,37
6,33
7,23
8,19
9,34
10,31
11,43
12,47
13,45
14,16
15,18
16,39
17,44
18,46
19,48
20,25
21,35
22,42
23,40
24,28
25,38
26,41
27,30
28,26
29,36
30,17
31,49
32,32
33,24
