set,sce
23,0
44,0
8,1
14,1
18,1
29,1
33,1
41,1
46,1
7,2
9,2
20,2
25,2
28,2
36,2
37,2
38,2
44,2
1,3
2,3
4,3
9,3
27,3
29,3
30,3
31,3
35,3
38,3
43,3
44,3
48,3
3,4
28,4
33,4
34,4
38,4
40,4
47,4
50,4
3,5
12,5
22,5
24,5
25,5
33,5
37,5
48,5
50,5
5,6
15,6
18,6
24,6
28,6
32,6
36,6
43,6
10,7
18,7
27,7
31,7
47,7
9,8
14,8
26,8
36,8
45,8
48,8
2,9
15,9
17,9
22,9
27,9
34,9
39,9
46,9
6,10
10,10
11,10
19,10
21,10
24,10
25,10
27,10
31,10
44,10
49,10
6,11
9,11
26,11
28,11
43,11
44,11
47,11
4,12
17,12
19,12
31,12
33,12
38,12
48,12
49,12
2,13
7,13
9,13
14,13
23,13
28,13
29,13
31,13
34,13
35,13
50,13
4,14
11,14
18,14
37,14
43,14
46,14
50,14
1,15
9,15
11,15
18,15
22,15
35,15
37,15
45,15
7,16
8,16
15,16
30,16
37,16
41,16
43,16
48,16
4,17
8,17
10,17
11,17
12,17
14,17
25,17
26,17
31,17
32,17
33,17
35,17
36,17
38,17
39,17
48,17
50,17
2,18
5,18
13,18
16,18
21,18
33,18
34,18
39,18
45,18
47,18
48,18
2,19
5,19
7,19
8,19
12,19
15,19
18,19
19,19
24,19
25,19
26,19
31,19
32,19
33,19
2,20
4,20
5,20
17,20
48,20
50,20
6,21
9,21
15,21
16,21
32,21
46,21
2,22
7,22
9,22
13,22
20,22
22,22
25,22
43,22
2,23
11,23
13,23
17,23
24,23
32,23
36,23
42,23
3,24
7,24
9,24
11,24
16,24
26,24
47,24
5,25
6,25
10,25
11,25
16,25
17,25
27,25
33,25
38,25
46,25
47,25
4,26
11,26
16,26
23,26
26,26
27,26
32,26
42,26
43,26
25,27
35,27
19,28
20,28
35,28
41,28
42,28
47,28
10,29
17,29
35,29
3,30
7,30
19,30
42,30
9,31
33,31
47,31
4,32
7,32
15,32
20,32
34,32
42,32
45,32
1,33
2,33
6,33
12,33
13,33
15,33
31,33
34,33
35,33
46,33
50,33
1,34
2,34
4,34
6,34
13,34
15,34
21,34
34,34
40,34
43,34
47,34
3,35
4,35
21,35
23,35
29,35
33,35
36,35
37,35
41,35
44,35
45,35
49,35
2,36
6,36
22,36
27,36
28,36
32,36
35,36
49,36
1,37
2,37
4,37
5,37
16,37
28,37
32,37
33,37
34,37
37,37
40,37
41,37
2,38
6,38
10,38
16,38
17,38
18,38
25,38
28,38
30,38
36,38
41,38
44,38
4,39
12,39
14,39
16,39
17,39
18,39
22,39
25,39
26,39
28,39
41,39
46,39
13,40
17,40
25,40
26,40
36,40
41,40
48,40
4,41
10,41
14,41
17,41
26,41
29,41
39,41
43,41
4,42
12,42
14,42
19,42
38,42
48,42
7,43
10,43
11,43
12,43
38,43
39,43
46,43
47,43
48,43
3,44
10,44
12,44
15,44
19,44
34,44
39,44
42,44
44,44
49,44
3,45
5,45
12,45
15,45
19,45
24,45
29,45
31,45
42,45
47,45
3,46
5,46
7,46
8,46
11,46
19,46
27,46
40,46
7,47
13,47
15,47
24,47
25,47
28,47
35,47
40,47
2,48
5,48
7,48
8,48
14,48
15,48
17,48
20,48
21,48
28,48
29,48
36,48
40,48
47,48
7,49
21,49
24,49
25,49
33,49
40,49
47,49
2,50
6,50
19,50
20,50
22,50
24,50
26,50
28,50
31,50
33,50
35,50
40,50
45,50
49,50
3,51
15,51
27,51
28,51
31,51
33,51
45,51
2,52
17,52
19,52
45,52
48,52
2,53
7,53
9,53
10,53
25,53
26,53
27,53
33,53
43,53
45,53
47,53
48,53
49,53
50,53
4,54
11,54
13,54
14,54
18,54
34,54
38,54
41,54
42,54
43,54
45,54
46,54
50,54
2,55
4,55
6,55
9,55
14,55
16,55
18,55
25,55
26,55
41,55
43,55
46,55
48,55
9,56
13,56
34,56
36,56
38,56
43,56
48,56
2,57
3,57
7,57
13,57
15,57
32,57
37,57
40,57
47,57
48,57
5,58
7,58
8,58
10,58
12,58
35,58
39,58
41,58
42,58
44,58
46,58
47,58
48,58
2,59
8,59
10,59
12,59
17,59
19,59
23,59
29,59
30,59
36,59
45,59
47,59
48,59
4,60
12,60
19,60
24,60
28,60
30,60
45,60
50,60
12,61
19,61
29,61
30,61
33,61
37,61
38,61
44,61
49,61
50,61
8,62
9,62
26,62
36,62
45,62
2,63
14,63
17,63
18,63
19,63
21,63
24,63
25,63
28,63
43,63
48,63
2,64
19,64
21,64
41,64
44,64
48,64
7,65
10,65
12,65
13,65
21,65
33,65
49,65
1,66
4,66
5,66
7,66
12,66
19,66
28,66
31,66
34,66
46,66
3,67
5,67
8,67
9,67
14,67
18,67
19,67
20,67
26,67
31,67
32,67
34,67
43,67
49,67
10,68
11,68
14,68
15,68
24,68
26,68
33,68
36,68
37,68
39,68
41,68
46,68
49,68
3,69
20,69
38,69
46,69
2,70
6,70
8,70
13,70
20,70
22,70
28,70
29,70
38,70
5,71
8,71
12,71
13,71
18,71
29,71
31,71
33,71
36,71
3,72
4,72
8,72
29,72
30,72
45,72
14,73
24,73
25,73
28,73
41,73
42,73
44,73
45,73
48,73
3,74
10,74
37,74
41,74
44,74
9,75
16,75
25,75
35,75
44,75
49,75
9,76
12,76
13,76
16,76
24,76
25,76
30,76
35,76
50,76
2,77
8,77
11,77
17,77
18,77
22,77
33,77
35,77
41,77
44,77
46,77
49,77
2,78
5,78
11,78
13,78
15,78
16,78
18,78
21,78
23,78
24,78
25,78
30,78
32,78
38,78
44,78
49,78
5,79
11,79
14,79
27,79
31,79
40,79
45,79
46,79
2,80
10,80
26,80
31,80
35,80
38,80
40,80
48,80
1,81
3,81
4,81
7,81
15,81
26,81
45,81
48,81
4,82
6,82
16,82
18,82
27,82
38,82
43,82
49,82
13,83
17,83
36,83
1,84
5,84
7,84
9,84
10,84
24,84
27,84
42,84
2,85
3,85
10,85
18,85
23,85
28,85
29,85
32,85
36,85
37,85
40,85
42,85
46,85
4,86
6,86
9,86
11,86
15,86
18,86
21,86
26,86
28,86
40,86
46,86
5,87
9,87
34,87
39,87
40,87
46,87
1,88
14,88
15,88
22,88
37,88
41,88
46,88
7,89
11,89
13,89
25,89
29,89
38,89
39,89
48,89
4,90
5,90
9,90
11,90
12,90
15,90
20,90
23,90
25,90
27,90
29,90
41,90
45,90
50,90
4,91
5,91
6,91
10,91
15,91
18,91
19,91
29,91
30,91
31,91
33,91
38,91
41,91
44,91
48,91
5,92
10,92
14,92
15,92
20,92
31,92
33,92
36,92
38,92
40,92
50,92
4,93
6,93
13,93
16,93
19,93
20,93
21,93
35,93
36,93
5,94
11,94
23,94
30,94
36,94
46,94
49,94
1,95
3,95
4,95
13,95
18,95
19,95
21,95
22,95
26,95
32,95
35,95
36,95
37,95
47,95
50,95
