Service Area,Node
0,17
1,28
2,29
3,18
4,26
5,34
6,16
7,38
8,36
9,35
10,33
11,15
12,27
13,40
14,22
15,42
16,43
17,41
18,19
19,39
20,14
21,44
22,21
23,9
24,30
25,32
26,12
27,24
28,45
29,10
30,31
31,37
32,48
33,23
34,50
35,13
36,49
37,20
38,11
39,47
40,25
41,46
