GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HC01_EST_VC13,HC01_EST_VC15
Id,Id2,Geography,Estimate; Total,Margin of Error; Total,Median income (dollars),Mean income (dollars)
1400000US47157008200,47157008200,"Census Tract 82, Shelby County, Tennessee",5298,519,22946,32991
1400000US47157008500,47157008500,"Census Tract 85, Shelby County, Tennessee",4496,300,112868,176537
1400000US47157008600,47157008600,"Census Tract 86, Shelby County, Tennessee",5929,581,80517,101906
1400000US47157008700,47157008700,"Census Tract 87, Shelby County, Tennessee",4514,495,37151,49394
1400000US47157008800,47157008800,"Census Tract 88, Shelby County, Tennessee",7304,1020,30180,35121
1400000US47157008900,47157008900,"Census Tract 89, Shelby County, Tennessee",4514,629,25864,29259
1400000US47157009100,47157009100,"Census Tract 91, Shelby County, Tennessee",2907,378,30225,37457
1400000US47157009200,47157009200,"Census Tract 92, Shelby County, Tennessee",7595,484,86583,101049
1400000US47157009300,47157009300,"Census Tract 93, Shelby County, Tennessee",4174,534,50896,75751
1400000US47157009400,47157009400,"Census Tract 94, Shelby County, Tennessee",3542,331,52443,65677
1400000US47157009500,47157009500,"Census Tract 95, Shelby County, Tennessee",6234,569,60723,75338
1400000US47157009600,47157009600,"Census Tract 96, Shelby County, Tennessee",5155,336,98371,144725
1400000US47157009700,47157009700,"Census Tract 97, Shelby County, Tennessee",2787,405,36731,51881
1400000US47157009800,47157009800,"Census Tract 98, Shelby County, Tennessee",3634,271,36725,46103
1400000US47157009901,47157009901,"Census Tract 99.01, Shelby County, Tennessee",2982,394,25714,40810
1400000US47157009902,47157009902,"Census Tract 99.02, Shelby County, Tennessee",2643,375,25489,48351
1400000US47157010000,47157010000,"Census Tract 100, Shelby County, Tennessee",6940,822,30508,35726
1400000US47157010110,47157010110,"Census Tract 101.10, Shelby County, Tennessee",7848,1102,16286,23065
1400000US47157010120,47157010120,"Census Tract 101.20, Shelby County, Tennessee",5291,573,23313,28006
1400000US47157010210,47157010210,"Census Tract 102.10, Shelby County, Tennessee",5670,555,27091,37218
1400000US47157010220,47157010220,"Census Tract 102.20, Shelby County, Tennessee",7238,708,30196,40041
1400000US47157010300,47157010300,"Census Tract 103, Shelby County, Tennessee",1743,258,22829,31092
1400000US47157010500,47157010500,"Census Tract 105, Shelby County, Tennessee",1686,358,26250,32277
1400000US47157010610,47157010610,"Census Tract 106.10, Shelby County, Tennessee",6335,828,31534,36306
1400000US47157010620,47157010620,"Census Tract 106.20, Shelby County, Tennessee",3568,467,27292,32744
1400000US47157010630,47157010630,"Census Tract 106.30, Shelby County, Tennessee",4315,647,22482,28996
1400000US47157010710,47157010710,"Census Tract 107.10, Shelby County, Tennessee",4905,641,43672,51602
1400000US47157010720,47157010720,"Census Tract 107.20, Shelby County, Tennessee",3891,433,26694,37653
1400000US47157010810,47157010810,"Census Tract 108.10, Shelby County, Tennessee",6624,696,31541,46475
1400000US47157010820,47157010820,"Census Tract 108.20, Shelby County, Tennessee",4240,475,39926,49459
1400000US47157011010,47157011010,"Census Tract 110.10, Shelby County, Tennessee",4394,546,35953,48615
1400000US47157011020,47157011020,"Census Tract 110.20, Shelby County, Tennessee",1257,189,29405,40483
1400000US47157011100,47157011100,"Census Tract 111, Shelby County, Tennessee",1602,255,19861,34997
1400000US47157011200,47157011200,"Census Tract 112, Shelby County, Tennessee",1647,241,17622,26550
1400000US47157011300,47157011300,"Census Tract 113, Shelby County, Tennessee",1387,227,18783,30260
1400000US47157011400,47157011400,"Census Tract 114, Shelby County, Tennessee",5646,416,11226,22721
1400000US47157011500,47157011500,"Census Tract 115, Shelby County, Tennessee",2823,501,23415,26618
1400000US47157011600,47157011600,"Census Tract 116, Shelby County, Tennessee",2449,383,17609,21994
1400000US47157011700,47157011700,"Census Tract 117, Shelby County, Tennessee",1507,285,25921,30810
1400000US47157011800,47157011800,"Census Tract 118, Shelby County, Tennessee",5944,651,37241,48662
1400000US47157020101,47157020101,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872
1400000US47157020102,47157020102,"Census Tract 201.02, Shelby County, Tennessee",2861,211,61202,78938
1400000US47157020210,47157020210,"Census Tract 202.10, Shelby County, Tennessee",5677,462,51863,57902
1400000US47157020221,47157020221,"Census Tract 202.21, Shelby County, Tennessee",2738,262,60046,77378
1400000US47157020222,47157020222,"Census Tract 202.22, Shelby County, Tennessee",3215,327,52106,57192
1400000US47157020300,47157020300,"Census Tract 203, Shelby County, Tennessee",5331,432,36795,50421
1400000US47157020400,47157020400,"Census Tract 204, Shelby County, Tennessee",1329,173,65000,68163
1400000US47157020511,47157020511,"Census Tract 205.11, Shelby County, Tennessee",2110,226,51136,59116
1400000US47157020512,47157020512,"Census Tract 205.12, Shelby County, Tennessee",5069,715,26141,46432
1400000US47157020521,47157020521,"Census Tract 205.21, Shelby County, Tennessee",3844,530,24336,30036
1400000US47157020523,47157020523,"Census Tract 205.23, Shelby County, Tennessee",3297,488,27574,35394
1400000US47157020524,47157020524,"Census Tract 205.24, Shelby County, Tennessee",4587,396,35022,46696
1400000US47157020531,47157020531,"Census Tract 205.31, Shelby County, Tennessee",5785,560,43393,50709
1400000US47157020532,47157020532,"Census Tract 205.32, Shelby County, Tennessee",5534,597,41604,48055
1400000US47157020541,47157020541,"Census Tract 205.41, Shelby County, Tennessee",6001,582,54951,66706
1400000US47157020542,47157020542,"Census Tract 205.42, Shelby County, Tennessee",5769,696,26361,33903
1400000US47157020610,47157020610,"Census Tract 206.10, Shelby County, Tennessee",3759,398,39934,51836
1400000US47157020621,47157020621,"Census Tract 206.21, Shelby County, Tennessee",7373,665,32492,47004
1400000US47157020622,47157020622,"Census Tract 206.22, Shelby County, Tennessee",3919,331,53000,70293
1400000US47157020632,47157020632,"Census Tract 206.32, Shelby County, Tennessee",5295,297,72130,80441
1400000US47157020633,47157020633,"Census Tract 206.33, Shelby County, Tennessee",3208,222,76771,103089
1400000US47157020634,47157020634,"Census Tract 206.34, Shelby County, Tennessee",3062,158,59803,69895
1400000US47157020635,47157020635,"Census Tract 206.35, Shelby County, Tennessee",2697,236,57331,76378
1400000US47157020642,47157020642,"Census Tract 206.42, Shelby County, Tennessee",9886,685,103106,109487
1400000US47157020643,47157020643,"Census Tract 206.43, Shelby County, Tennessee",8424,446,91786,101567
1400000US47157020644,47157020644,"Census Tract 206.44, Shelby County, Tennessee",8639,858,63315,76471
1400000US47157020651,47157020651,"Census Tract 206.51, Shelby County, Tennessee",7415,718,60679,67822
1400000US47157020652,47157020652,"Census Tract 206.52, Shelby County, Tennessee",4985,435,63495,67824
1400000US47157020700,47157020700,"Census Tract 207, Shelby County, Tennessee",2262,175,66845,80638
1400000US47157020810,47157020810,"Census Tract 208.10, Shelby County, Tennessee",3052,249,78533,108182
1400000US47157020820,47157020820,"Census Tract 208.20, Shelby County, Tennessee",8812,444,109872,121483
1400000US47157020831,47157020831,"Census Tract 208.31, Shelby County, Tennessee",3697,352,74640,79385
1400000US47157020832,47157020832,"Census Tract 208.32, Shelby County, Tennessee",10010,548,114050,129695
1400000US47157020900,47157020900,"Census Tract 209, Shelby County, Tennessee",9819,296,99052,108915
1400000US47157021010,47157021010,"Census Tract 210.10, Shelby County, Tennessee",17591,1392,76143,95311
1400000US47157021020,47157021020,"Census Tract 210.20, Shelby County, Tennessee",6577,406,80917,135309
