Subspace_ID,Area (square km),g
253,4.000144801,4000
254,3.999247951,3999
255,3.998351494,3998
256,3.997455429,3997
257,5.098614434,5099
258,3.599425876,3599
259,3.017674935,3018
260,3.017321849,3017
261,4.02230387,4022
262,4.021399249,4021
263,4.020495025,4020
264,4.019591199,4020
265,3.014100552,3014
266,3.013592339,3014
267,4.017333368,4017
268,4.01643093,4016
269,4.015528887,4016
270,4.014627239,4015
271,4.013725988,4014
272,4.012825131,4013
273,4.011924669,4012
274,4.011024601,4011
275,4.010124928,4010
276,4.009225648,4009
277,4.008326763,4008
278,4.007428271,4007
279,4.006530172,4007
280,4.933467355,4933
281,3.609413355,3609
282,3.258026597,3258
283,3.007028207,3007
284,3.758070006,3758
285,4.007736536,4008
286,4.006835385,4007
287,4.005934629,4006
288,4.067650865,4068
289,3.284714673,3285
290,5.347916307,5348
291,4.126973389,4127
292,4.000987535,4001
293,4.125063906,4125
294,1.749768873,1750
295,3.592456638,3592
296,2.998216034,2998
297,3.840494951,3840
298,4.120495028,4120
299,3.994708464,3995
300,3.993813024,3994
301,4.117668695,4118
302,4.120604063,4121
303,2.377054135,2377
304,1.18710937,1187
305,1.999034947,1999
306,2.185960929,2186
307,3.628221647,3628
308,3.258059871,3258
309,3.007028207,3007
310,3.758070006,3758
311,4.007736536,4008
312,4.006835385,4007
313,4.005934629,4006
314,3.692180136,3692
315,1.313948841,1314
316,3.722255142,3722
317,3.471215701,3471
318,4.627229765,4627
319,4.000987535,4001
320,4.62505439,4625
321,3.467998587,3468
322,2.99872062,2999
323,2.998047863,2998
324,3.465765492,3466
325,4.619966353,4620
326,3.994708464,3995
327,3.993813024,3994
328,4.616762557,4617
329,4.250782463,4251
330,3.645944515,3646
331,3.017658647,3018
332,3.017321849,3017
333,4.02230387,4022
334,4.021399249,4021
335,4.020495025,4020
336,4.019591199,4020
337,3.014100552,3014
338,3.013592339,3014
339,4.017333368,4017
340,4.01643093,4016
341,4.015528887,4016
342,4.014627239,4015
343,4.013725988,4014
344,4.012825131,4013
345,4.011924669,4012
346,4.011024601,4011
347,4.010124928,4010
348,4.009225648,4009
349,4.008326763,4008
350,4.007428271,4007
351,4.006530172,4007
352,4.609852564,4610
353,3.629638848,3630
354,3.01086316,3011
355,3.010487529,3010
356,4.013193237,4013
357,4.012290665,4012
358,4.011388489,4011
359,4.01048671,4010
360,3.007273528,3007
361,3.006766467,3007
362,4.008233993,4008
363,4.007333599,4007
364,4.006433599,4006
365,4.005533994,4006
366,4.004634783,4005
367,4.003735967,4004
368,4.002837544,4003
369,4.001939516,4002
370,4.00104188,4001
371,4.000144638,4000
372,3.999247788,3999
373,3.998351331,3998
374,3.997455266,3997
375,4.577884074,4578
376,3.614098826,3614
377,3.126372155,3126
378,4.134025062,4134
379,4.133006846,4133
380,4.006835385,4007
381,4.005934629,4006
382,3.003860139,3004
383,3.003353653,3003
384,3.753482351,3753
385,4.190415629,4190
386,3.751740119,3752
387,4.000987535,4001
388,4.125063906,4125
389,1.749768873,1750
390,4.779566008,4780
391,2.998216034,2998
392,3.840494951,3840
393,4.120495028,4120
394,3.994708464,3995
395,3.993813024,3994
396,4.117668695,4118
397,3.94456855,3945
398,1.999034947,1999
399,2.185960929,2186
400,3.564643094,3565
401,2.899191151,2899
402,4.399077226,4399
403,4.648937892,4649
404,4.020495025,4020
405,4.019591199,4020
406,3.014100552,3014
407,3.013592339,3014
408,3.766278289,3766
409,4.831202362,4831
410,3.764530119,3765
411,4.014627239,4015
412,4.639969529,4640
413,3.480353337,3480
414,3.012351143,3012
415,3.011675328,3012
416,3.478113295,3478
417,4.634864647,4635
418,4.008326763,4008
419,4.007428271,4007
420,4.631650956,4632
421,3.965458303,3965
422,4.697228374,4697
423,3.473510975,3474
424,3.010830584,3011
425,3.010487652,3010
426,4.0131934,4013
427,4.012290828,4012
428,4.011388653,4011
429,4.010486874,4010
430,3.007273651,3007
431,3.006766589,3007
432,4.008234157,4008
433,4.007333762,4007
434,4.006433763,4006
435,4.005534157,4006
436,4.004634947,4005
437,4.00373613,4004
438,4.002837708,4003
439,4.001939679,4002
440,4.001042043,4001
441,4.000144801,4000
442,3.999247951,3999
443,3.998351494,3998
444,3.997455429,3997
445,3.996559757,3997
446,2.560296963,2560
447,2.255562476,2256
448,2.255302877,2255
449,3.006478574,3006
450,3.005802413,3006
451,3.00512655,3005
452,3.004450983,3004
453,2.252895112,2253
454,2.252515248,2253
455,3.002763363,3003
456,3.002088834,3002
457,3.0014146,3001
458,3.000740662,3001
459,3.00006702,3000
460,2.999393673,2999
461,2.99872062,2999
462,2.998047863,2998
463,2.997375401,2997
464,2.996703233,2997
465,2.996031359,2996
466,2.995359779,2995
467,2.994688494,2995
468,2.994017501,2994
469,7.215018454,7215
470,2.556262626,2556
471,2.255594993,2256
472,2.255302877,2255
473,3.006478574,3006
474,3.005802413,3006
475,3.00512655,3005
476,3.004450983,3004
477,2.252895112,2253
478,2.252515248,2253
479,3.002763363,3003
480,3.002088834,3002
481,3.0014146,3001
482,3.000740662,3001
483,3.00006702,3000
484,2.999393673,2999
485,2.99872062,2999
486,2.998047863,2998
487,2.997375401,2997
488,2.996703233,2997
489,2.996031359,2996
490,2.995359779,2995
491,2.994688494,2995
492,2.994017501,2994
493,2.561073903,2561
494,2.262390477,2262
495,2.262137075,2262
496,3.015589043,3016
497,3.014910834,3015
498,3.014232922,3014
499,3.013555308,3014
500,2.259722014,2260
501,2.259340998,2259
502,3.011862575,3012
503,3.011186001,3011
504,3.010509724,3011
505,3.009833744,3010
506,3.00915806,3009
507,3.008482673,3008
508,3.007807581,3008
509,3.007132785,3007
510,3.006458285,3006
511,3.00578408,3006
512,3.005110171,3005
513,3.004436556,3004
514,3.003763236,3004
515,3.00309021,3003
516,2.558328569,2558
517,2.262423056,2262
518,2.262137075,2262
519,3.015589043,3016
520,3.014910834,3015
521,3.014232922,3014
522,3.013555308,3014
523,2.259722014,2260
524,2.259340998,2259
525,3.011862575,3012
526,3.011186001,3011
