ID,Length (ft),Length (km),Arc Type,Start Node,End Node,u_t0,f_t0,c_t0,u_t1,f_t1,c_t1,u_t2,f_t2,c_t2,u_t3,f_t3,c_t3,u_t4,f_t4,c_t4,u_t5,f_t5,c_t5,u_t6,f_t6,c_t6,u_t7,f_t7,c_t7,u_t8,f_t8,c_t8,u_t9,f_t9,c_t9,u_t10,f_t10,c_t10
24,4976.882683,1.517,Transmission Line,40,57,23.8,4977,4977,23.8,4977,4977,23.8,4977,4977,23.8,4977,4977,23.8,4977,4977,23.8,4977,4977,23.8,4977,4977,23.8,4977,4977,23.8,4977,4977,23.8,4977,4977,23.8,4977,4977
25,33737.28994,10.283,Transmission Line,57,38,1,33737,33737,1,33737,33737,1,33737,33737,1,33737,33737,1,33737,33737,1,33737,33737,1,33737,33737,1,33737,33737,1,33737,33737,1,33737,33737,1,33737,33737
26,8251.843168,2.515,Transmission Line,3,55,70.4,8252,8252,70.4,8252,8252,70.4,8252,8252,70.4,8252,8252,70.4,8252,8252,70.4,8252,8252,70.4,8252,8252,70.4,8252,8252,70.4,8252,8252,70.4,8252,8252,70.4,8252,8252
27,3207.365982,0.978,Transmission Line,55,54,38.4,3207,3207,38.4,3207,3207,38.4,3207,3207,38.4,3207,3207,38.4,3207,3207,38.4,3207,3207,38.4,3207,3207,38.4,3207,3207,38.4,3207,3207,38.4,3207,3207,38.4,3207,3207
28,12337.69764,3.761,Transmission Line,54,65,1,12338,12338,1,12338,12338,1,12338,12338,1,12338,12338,1,12338,12338,1,12338,12338,1,12338,12338,1,12338,12338,1,12338,12338,1,12338,12338,1,12338,12338
29,8162.643067,2.488,Transmission Line,54,22,38.4,8163,8163,38.4,8163,8163,38.4,8163,8163,38.4,8163,8163,38.4,8163,8163,38.4,8163,8163,38.4,8163,8163,38.4,8163,8163,38.4,8163,8163,38.4,8163,8163,38.4,8163,8163
30,6477.218079,1.974,Transmission Line,65,21,96.2,6477,6477,96.2,6477,6477,96.2,6477,6477,96.2,6477,6477,96.2,6477,6477,96.2,6477,6477,96.2,6477,6477,96.2,6477,6477,96.2,6477,6477,96.2,6477,6477,96.2,6477,6477
31,16222.57453,4.945,Transmission Line,65,5,96.2,16223,16223,96.2,16223,16223,96.2,16223,16223,96.2,16223,16223,96.2,16223,16223,96.2,16223,16223,96.2,16223,16223,96.2,16223,16223,96.2,16223,16223,96.2,16223,16223,96.2,16223,16223
32,12702.83785,3.872,Transmission Line,5,48,42.1,12703,12703,42.1,12703,12703,42.1,12703,12703,42.1,12703,12703,42.1,12703,12703,42.1,12703,12703,42.1,12703,12703,42.1,12703,12703,42.1,12703,12703,42.1,12703,12703,42.1,12703,12703
33,15240.51735,4.645,Transmission Line,63,49,115.1,15241,15241,115.1,15241,15241,115.1,15241,15241,115.1,15241,15241,115.1,15241,15241,115.1,15241,15241,115.1,15241,15241,115.1,15241,15241,115.1,15241,15241,115.1,15241,15241,115.1,15241,15241
34,2752.180084,0.839,Transmission Line,4,63,115.1,2752,2752,115.1,2752,2752,115.1,2752,2752,115.1,2752,2752,115.1,2752,2752,115.1,2752,2752,115.1,2752,2752,115.1,2752,2752,115.1,2752,2752,115.1,2752,2752,115.1,2752,2752
35,14509.36472,4.422,Transmission Line,20,4,22.5,14509,14509,22.5,14509,14509,22.5,14509,14509,22.5,14509,14509,22.5,14509,14509,22.5,14509,14509,22.5,14509,14509,22.5,14509,14509,22.5,14509,14509,22.5,14509,14509,22.5,14509,14509
