ID,X,Y,Node Type,Area (squate miles),Median income (dollars),Mean income (dollars),Density,percPop,population,Area-Population Score,Demand-t0,q (complete DS)_t0,Mp_t0,Mm_t0,Demand-t1,q (complete DS)_t1,Mp_t1,Mm_t1,Demand-t2,q (complete DS)_t2,Mp_t2,Mm_t2,Demand-t3,q (complete DS)_t3,Mp_t3,Mm_t3,Demand-t4,q (complete DS)_t4,Mp_t4,Mm_t4,Demand-t5,q (complete DS)_t5,Mp_t5,Mm_t5,Demand-t6,q (complete DS)_t6,Mp_t6,Mm_t6,Demand-t7,q (complete DS)_t7,Mp_t7,Mm_t7,Demand-t8,q (complete DS)_t8,Mp_t8,Mm_t8,Demand-t9,q (complete DS)_t9,Mp_t9,Mm_t9,Demand-t10,q (complete DS)_t10,Mp_t10,Mm_t10
34,-89.83747524,35.22671732,Distribution Node,42.27,56778,67078,2199,0.101,92949,0.955882353,-100.632,19559,1000000,10000000,-100.632,19559,1000000,10000000,-100.632,19559,1000000,10000000,-100.632,19559,1000000,10000000,-100.632,19559,1000000,10000000,-100.632,19559,1000000,10000000,-100.632,19559,1000000,10000000,-100.632,19559,1000000,10000000,-100.632,19559,1000000,10000000,-100.632,19559,1000000,10000000,-100.632,19559,1000000,10000000
35,-89.72321767,35.27321239,Distribution Node,36.54,95229,109532,552,0.022,20169,0.691176471,-21.836,16912,1000000,10000000,-21.836,16912,1000000,10000000,-21.836,16912,1000000,10000000,-21.836,16912,1000000,10000000,-21.836,16912,1000000,10000000,-21.836,16912,1000000,10000000,-21.836,16912,1000000,10000000,-21.836,16912,1000000,10000000,-21.836,16912,1000000,10000000,-21.836,16912,1000000,10000000,-21.836,16912,1000000,10000000
36,-90.00917224,35.26743752,Distribution Node,57.86,40054,57818,76,0.005,4421,0.632352941,-4.787,16324,1000000,10000000,-4.787,16324,1000000,10000000,-4.787,16324,1000000,10000000,-4.787,16324,1000000,10000000,-4.787,16324,1000000,10000000,-4.787,16324,1000000,10000000,-4.787,16324,1000000,10000000,-4.787,16324,1000000,10000000,-4.787,16324,1000000,10000000,-4.787,16324,1000000,10000000,-4.787,16324,1000000,10000000
37,-89.74869898,35.31577403,Distribution Node,7.55,72689,94410,62,0.001,465,0.102941176,-0.503,11029,1000000,10000000,-0.503,11029,1000000,10000000,-0.503,11029,1000000,10000000,-0.503,11029,1000000,10000000,-0.503,11029,1000000,10000000,-0.503,11029,1000000,10000000,-0.503,11029,1000000,10000000,-0.503,11029,1000000,10000000,-0.503,11029,1000000,10000000,-0.503,11029,1000000,10000000,-0.503,11029,1000000,10000000
38,-89.92224945,35.27339114,Distribution Node,27.78,41759,51399,604,0.018,16765,0.602941176,-18.15,16029,1000000,10000000,-18.15,16029,1000000,10000000,-18.15,16029,1000000,10000000,-18.15,16029,1000000,10000000,-18.15,16029,1000000,10000000,-18.15,16029,1000000,10000000,-18.15,16029,1000000,10000000,-18.15,16029,1000000,10000000,-18.15,16029,1000000,10000000,-18.15,16029,1000000,10000000,-18.15,16029,1000000,10000000
39,-89.7891992,35.29686482,Distribution Node,19.97,87419,101113,381,0.008,7608,0.426470588,-8.237,14265,1000000,10000000,-8.237,14265,1000000,10000000,-8.237,14265,1000000,10000000,-8.237,14265,1000000,10000000,-8.237,14265,1000000,10000000,-8.237,14265,1000000,10000000,-8.237,14265,1000000,10000000,-8.237,14265,1000000,10000000,-8.237,14265,1000000,10000000,-8.237,14265,1000000,10000000,-8.237,14265,1000000,10000000
40,-89.74092873,35.33492696,Distribution Node,21.76,72689,94410,63,0.001,1370,0.323529412,-1.483,13235,1000000,10000000,-1.483,13235,1000000,10000000,-1.483,13235,1000000,10000000,-1.483,13235,1000000,10000000,-1.483,13235,1000000,10000000,-1.483,13235,1000000,10000000,-1.483,13235,1000000,10000000,-1.483,13235,1000000,10000000,-1.483,13235,1000000,10000000,-1.483,13235,1000000,10000000,-1.483,13235,1000000,10000000
41,-89.80587325,35.34760639,Distribution Node,23.44,58954,65974,159,0.004,3737,0.411764706,-4.046,14118,1000000,10000000,-4.046,14118,1000000,10000000,-4.046,14118,1000000,10000000,-4.046,14118,1000000,10000000,-4.046,14118,1000000,10000000,-4.046,14118,1000000,10000000,-4.046,14118,1000000,10000000,-4.046,14118,1000000,10000000,-4.046,14118,1000000,10000000,-4.046,14118,1000000,10000000,-4.046,14118,1000000,10000000
42,-89.94223051,35.36399391,Distribution Node,30.9,50898,68773,88,0.003,2733,0.514705882,-2.958,15147,1000000,10000000,-2.958,15147,1000000,10000000,-2.958,15147,1000000,10000000,-2.958,15147,1000000,10000000,-2.958,15147,1000000,10000000,-2.958,15147,1000000,10000000,-2.958,15147,1000000,10000000,-2.958,15147,1000000,10000000,-2.958,15147,1000000,10000000,-2.958,15147,1000000,10000000,-2.958,15147,1000000,10000000
43,-89.89774729,35.35213419,Distribution Node,15.08,53162,62211,442,0.007,6674,0.308823529,-7.225,13088,1000000,10000000,-7.225,13088,1000000,10000000,-7.225,13088,1000000,10000000,-7.225,13088,1000000,10000000,-7.225,13088,1000000,10000000,-7.225,13088,1000000,10000000,-7.225,13088,1000000,10000000,-7.225,13088,1000000,10000000,-7.225,13088,1000000,10000000,-7.225,13088,1000000,10000000,-7.225,13088,1000000,10000000
44,-89.9343417,35.37630835,Distribution Node,2.64,56533,68420,148,0,390,0.029411765,-0.422,10294,1000000,10000000,-0.422,10294,1000000,10000000,-0.422,10294,1000000,10000000,-0.422,10294,1000000,10000000,-0.422,10294,1000000,10000000,-0.422,10294,1000000,10000000,-0.422,10294,1000000,10000000,-0.422,10294,1000000,10000000,-0.422,10294,1000000,10000000,-0.422,10294,1000000,10000000,-0.422,10294,1000000,10000000
45,-89.89758625,35.37014056,Distribution Node,5.07,51219,58829,317,0.002,1605,0.147058824,-1.738,11471,1000000,10000000,-1.738,11471,1000000,10000000,-1.738,11471,1000000,10000000,-1.738,11471,1000000,10000000,-1.738,11471,1000000,10000000,-1.738,11471,1000000,10000000,-1.738,11471,1000000,10000000,-1.738,11471,1000000,10000000,-1.738,11471,1000000,10000000,-1.738,11471,1000000,10000000,-1.738,11471,1000000,10000000
46,-89.93619652,35.39410639,Distribution Node,3.88,56533,68420,235,0.001,910,0.088235294,-0.985,10882,1000000,10000000,-0.985,10882,1000000,10000000,-0.985,10882,1000000,10000000,-0.985,10882,1000000,10000000,-0.985,10882,1000000,10000000,-0.985,10882,1000000,10000000,-0.985,10882,1000000,10000000,-0.985,10882,1000000,10000000,-0.985,10882,1000000,10000000,-0.985,10882,1000000,10000000,-0.985,10882,1000000,10000000
47,-89.89335641,35.39353137,Distribution Node,3.44,51863,57902,379,0.001,1301,0.088235294,-1.408,10882,1000000,10000000,-1.408,10882,1000000,10000000,-1.408,10882,1000000,10000000,-1.408,10882,1000000,10000000,-1.408,10882,1000000,10000000,-1.408,10882,1000000,10000000,-1.408,10882,1000000,10000000,-1.408,10882,1000000,10000000,-1.408,10882,1000000,10000000,-1.408,10882,1000000,10000000,-1.408,10882,1000000,10000000
48,-89.6504359,35.37893741,Distribution Node,18.2,88793,108549,116,0.002,2119,0.308823529,-2.295,13088,1000000,10000000,-2.295,13088,1000000,10000000,-2.295,13088,1000000,10000000,-2.295,13088,1000000,10000000,-2.295,13088,1000000,10000000,-2.295,13088,1000000,10000000,-2.295,13088,1000000,10000000,-2.295,13088,1000000,10000000,-2.295,13088,1000000,10000000,-2.295,13088,1000000,10000000,-2.295,13088,1000000,10000000
